,StopName,StopUID,StopStatus,Direction,RouteName,RouteUID,EstimateTime(Sec),UpdateDate,UpdateTime
0,南勢角(景平路),TPE142282,0,1,672,TPE10785,828,2020-06-22,07:59:56
1,信義新生路口,TPE38887,0,0,672,TPE10785,440,2020-06-22,07:59:56
2,南京龍江路口,TPE38894,0,0,672,TPE10785,109,2020-06-22,07:59:56
3,智光商職,TPE59122,3,0,672區,TPE16169,--,2020-06-22,07:59:56
4,捷運秀朗橋站,TPE59117,3,0,672區,TPE16169,--,2020-06-22,07:59:56
5,捷運公館站,TPE59129,3,0,672區,TPE16169,--,2020-06-22,07:59:56
6,捷運景平站,TPE59143,0,1,672區,TPE16169,952,2020-06-22,07:59:56
7,博仁醫院,TPE38909,0,1,672,TPE10785,336,2020-06-22,07:59:56
8,福和橋(永元路),TPE38875,0,0,672,TPE10785,308,2020-06-22,07:59:56
9,介壽國中,TPE38900,0,0,672,TPE10785,73,2020-06-22,07:59:56
10,臺北市區監理所(光復),TPE38910,0,1,672,TPE10785,483,2020-06-22,07:59:56
11,喬治商職,TPE38917,0,1,672,TPE10785,1046,2020-06-22,07:59:56
12,尖山腳,TPE191880,3,0,672區,TPE16169,--,2020-06-22,07:59:56
13,中正環河路口,TPE59116,3,0,672區,TPE16169,--,2020-06-22,07:59:56
14,秀朗國小,TPE59136,0,1,672區,TPE16169,503,2020-06-22,07:59:56
15,捷運國父紀念館站(光復),TPE38911,0,1,672,TPE10785,548,2020-06-22,07:59:56
16,南京敦化路口(小巨蛋),TPE38897,0,0,672,TPE10785,365,2020-06-22,07:59:56
17,捷運古亭站(和平),TPE38881,0,0,672,TPE10785,625,2020-06-22,07:59:56
18,經建新村,TPE59121,3,0,672區,TPE16169,--,2020-06-22,07:59:56
19,景平路景德街口,TPE38865,0,0,672,TPE10785,246,2020-06-22,07:59:56
20,南京新村,TPE38908,0,1,672,TPE10785,226,2020-06-22,07:59:56
21,臺大癌醫(基隆路),TPE38921,0,1,672,TPE10785,38,2020-06-22,07:59:56
22,永元路,TPE59135,0,1,672區,TPE16169,413,2020-06-22,07:59:56
23,得和路,TPE38927,0,1,672,TPE10785,520,2020-06-22,07:59:56
24,尖山腳,TPE191879,0,0,672,TPE10785,147,2020-06-22,07:59:56
25,得和路,TPE38872,0,0,672,TPE10785,954,2020-06-22,07:59:56
26,捷運台電大樓站,TPE38878,0,0,672,TPE10785,346,2020-06-22,07:59:56
27,捷運秀朗橋站,TPE38936,0,1,672,TPE10785,1137,2020-06-22,07:59:56
28,中正環河路口,TPE59147,0,1,672區,TPE16169,1457,2020-06-22,07:59:56
29,捷運秀朗橋站,TPE38863,0,0,672,TPE10785,111,2020-06-22,07:59:56
30,秀朗國小,TPE38873,0,0,672,TPE10785,0,2020-06-22,07:59:56
31,捷運景平站,TPE38866,0,0,672,TPE10785,345,2020-06-22,07:59:56
32,福和橋(林森路),TPE59134,0,1,672區,TPE16169,310,2020-06-22,07:59:56
33,南勢角(景平路),TPE59141,0,1,672區,TPE16169,848,2020-06-22,07:59:56
34,永元路,TPE59127,3,0,672區,TPE16169,--,2020-06-22,07:59:56
35,國父紀念館,TPE38912,0,1,672,TPE10785,692,2020-06-22,07:59:56
36,中興二村,TPE38929,0,1,672,TPE10785,713,2020-06-22,07:59:56
37,和平高中,TPE38919,0,1,672,TPE10785,1298,2020-06-22,07:59:56
38,長壽公園,TPE38906,0,1,672,TPE10785,124,2020-06-22,07:59:56
39,捷運南京復興站,TPE38895,0,0,672,TPE10785,150,2020-06-22,07:59:56
40,捷運景平站,TPE59120,3,0,672區,TPE16169,--,2020-06-22,07:59:56
41,秀朗國小,TPE38926,0,1,672,TPE10785,487,2020-06-22,07:59:56
42,捷運秀朗橋站,TPE59146,0,1,672區,TPE16169,1138,2020-06-22,07:59:56
43,中正環河路口,TPE38857,1,0,672,TPE10785,--,2020-06-22,07:59:56
44,仁愛新生路口,TPE38888,0,0,672,TPE10785,583,2020-06-22,07:59:56
45,羅斯福金門街口,TPE38880,0,0,672,TPE10785,454,2020-06-22,07:59:56
46,智光商職,TPE59140,0,1,672區,TPE16169,765,2020-06-22,07:59:56
47,公館,TPE59133,0,1,672區,TPE16169,0,2020-06-22,07:59:56
48,光華商場,TPE38890,0,0,672,TPE10785,768,2020-06-22,07:59:56
49,中正環河路口,TPE38942,0,1,672,TPE10785,1421,2020-06-22,07:59:56
50,得和路,TPE59125,3,0,672區,TPE16169,--,2020-06-22,07:59:56
51,福和橋(永元路),TPE59128,3,0,672區,TPE16169,--,2020-06-22,07:59:56
52,三軍總醫院松山分院,TPE38907,0,1,672,TPE10785,143,2020-06-22,07:59:56
53,市民住宅,TPE38913,0,1,672,TPE10785,762,2020-06-22,07:59:56
54,長庚醫院,TPE38898,0,0,672,TPE10785,436,2020-06-22,07:59:56
55,三張犁,TPE38914,0,1,672,TPE10785,817,2020-06-22,07:59:56
56,三民健康路口(西松高中),TPE38904,0,1,672,TPE10785,345,2020-06-22,07:59:56
57,公館,TPE38923,0,1,672,TPE10785,165,2020-06-22,07:59:56
58,中興新村,TPE38928,0,1,672,TPE10785,664,2020-06-22,07:59:56
59,臺灣科技大學,TPE59132,3,1,672區,TPE16169,--,2020-06-22,07:59:56
60,景平路景德街口,TPE38934,0,1,672,TPE10785,1054,2020-06-22,07:59:56
61,智光商職,TPE38869,0,0,672,TPE10785,642,2020-06-22,07:59:56
62,捷運公館站,TPE38876,0,0,672,TPE10785,131,2020-06-22,07:59:56
63,秀朗國小,TPE59126,3,0,672區,TPE16169,--,2020-06-22,07:59:56
64,中興二村,TPE38870,0,0,672,TPE10785,710,2020-06-22,07:59:56
65,基隆長興街口,TPE38920,0,1,672,TPE10785,0,2020-06-22,07:59:56
66,師大,TPE38883,0,0,672,TPE10785,66,2020-06-22,07:59:56
67,溫州街口,TPE38885,0,0,672,TPE10785,162,2020-06-22,07:59:56
68,長安東路二段,TPE38892,0,0,672,TPE10785,852,2020-06-22,07:59:56
69,南京建國路口,TPE38893,0,0,672,TPE10785,61,2020-06-22,07:59:56
70,中興新村,TPE38871,0,0,672,TPE10785,783,2020-06-22,07:59:56
71,捷運景平站,TPE38933,0,1,672,TPE10785,887,2020-06-22,07:59:56
72,中興新村,TPE59138,0,1,672區,TPE16169,678,2020-06-22,07:59:56
73,南京敦化路口(小巨蛋),TPE38896,0,0,672,TPE10785,291,2020-06-22,07:59:56
74,羅斯福浦城街口,TPE38879,0,0,672,TPE10785,412,2020-06-22,07:59:56
75,臺大癌醫(基隆路),TPE59131,3,1,672區,TPE16169,--,2020-06-22,07:59:56
76,臺灣科技大學,TPE38922,0,1,672,TPE10785,72,2020-06-22,07:59:56
77,景平路景德街口,TPE59119,3,0,672區,TPE16169,--,2020-06-22,07:59:56
78,公教住宅,TPE38899,0,0,672,TPE10785,19,2020-06-22,07:59:56
79,金華新生路口,TPE38886,0,0,672,TPE10785,378,2020-06-22,07:59:56
80,景平路景德街口,TPE59144,0,1,672區,TPE16169,1029,2020-06-22,07:59:56
81,長安松江路口,TPE38891,0,0,672,TPE10785,820,2020-06-22,07:59:56
82,聯合二村,TPE38901,0,0,672,TPE10785,144,2020-06-22,07:59:56
83,永元路,TPE38925,0,1,672,TPE10785,379,2020-06-22,07:59:56
84,中興二村,TPE59139,0,1,672區,TPE16169,720,2020-06-22,07:59:56
85,三興國小(臨江街觀光夜市),TPE38916,0,1,672,TPE10785,1004,2020-06-22,07:59:56
86,健康新城,TPE38905,0,1,672,TPE10785,77,2020-06-22,07:59:56
87,智光商職,TPE38930,0,1,672,TPE10785,766,2020-06-22,07:59:56
88,光復南路口,TPE38915,0,1,672,TPE10785,946,2020-06-22,07:59:56
89,民生社區活動中心,TPE38902,0,0,672,TPE10785,188,2020-06-22,07:59:56
90,基隆長興街口,TPE59130,3,1,672區,TPE16169,--,2020-06-22,07:59:56
91,中興新村,TPE59124,3,0,672區,TPE16169,--,2020-06-22,07:59:56
92,捷運忠孝新生站,TPE38889,0,0,672,TPE10785,642,2020-06-22,07:59:56
93,福和橋(林森路),TPE38924,0,1,672,TPE10785,265,2020-06-22,07:59:56
94,中興二村,TPE59123,3,0,672區,TPE16169,--,2020-06-22,07:59:56
95,師大綜合大樓,TPE38884,0,0,672,TPE10785,97,2020-06-22,07:59:56
96,永元路,TPE38874,0,0,672,TPE10785,150,2020-06-22,07:59:56
97,三民路,TPE38903,0,1,672,TPE10785,278,2020-06-22,07:59:56
98,經建新村,TPE38867,0,0,672,TPE10785,406,2020-06-22,07:59:56
99,得和路,TPE59137,0,1,672區,TPE16169,567,2020-06-22,07:59:56
100,捷運六張犁站(基隆路),TPE38918,0,1,672,TPE10785,1132,2020-06-22,07:59:56
101,台電大樓,TPE38877,0,0,672,TPE10785,254,2020-06-22,07:59:56
