StopName,StopUID,Direction,RouteName,StopSequence,2020-6-22_0700,2020-6-22_0705,2020-6-22_0710,2020-6-22_0715,2020-6-22_0720,2020-6-22_0725,2020-6-22_0730,2020-6-22_0735,2020-6-22_0740,2020-6-22_0745,2020-6-22_0750,2020-6-22_0755,2020-6-22_0800,2020-6-22_0805,2020-6-22_0810,2020-6-22_0815,2020-6-22_0820,2020-6-22_0825,2020-6-22_0830,2020-6-22_0835,2020-6-22_0840,2020-6-22_0845,2020-6-22_0850,2020-6-22_0855,mean
民生社區活動中心,TPE38902,0,672,39,,,,,,,,,,,,,,,,,,,,,,,,,
聯合二村,TPE38901,0,672,38,24.0,37.0,37.0,37.0,37.0,37.0,37.0,44.0,44.0,44.0,44.0,44.0,44.0,35.0,35.0,35.0,47.0,47.0,47.0,48.0,48.0,48.0,,53.0,41.43478260869565
介壽國中,TPE38900,0,672,37,41.0,54.0,54.0,54.0,54.0,,54.0,54.0,54.0,54.0,54.0,,71.0,61.0,61.0,61.0,75.0,75.0,75.0,83.0,83.0,83.0,61.0,61.0,62.59090909090909
公教住宅,TPE38899,0,672,36,,49.0,49.0,49.0,49.0,56.0,56.0,49.0,49.0,49.0,49.0,49.0,54.0,52.0,52.0,,52.0,52.0,52.0,57.0,57.0,57.0,65.0,65.0,53.09090909090909
長庚醫院,TPE38898,0,672,35,64.0,134.0,134.0,134.0,134.0,171.0,,134.0,134.0,134.0,134.0,134.0,,211.0,211.0,211.0,201.0,201.0,,201.0,201.0,,164.0,164.0,160.3
南京敦化路口(小巨蛋),TPE38897,0,672,34,51.0,50.0,50.0,50.0,,50.0,50.0,52.0,52.0,52.0,,,71.0,68.0,,83.0,83.0,83.0,83.0,83.0,,215.0,215.0,215.0,87.15789473684211
南京敦化路口(小巨蛋),TPE38896,0,672,33,55.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,74.0,74.0,164.0,108.0,108.0,108.0,,108.0,108.0,108.0,108.0,108.0,,95.95454545454545
捷運南京復興站,TPE38895,0,672,32,90.0,130.0,130.0,130.0,144.0,144.0,144.0,144.0,144.0,144.0,,141.0,141.0,,89.0,89.0,89.0,136.0,136.0,136.0,90.0,90.0,90.0,93.0,121.0909090909091
南京龍江路口,TPE38894,0,672,31,84.0,52.0,52.0,,49.0,,44.0,44.0,44.0,,41.0,41.0,41.0,116.0,118.0,118.0,118.0,109.0,109.0,109.0,121.0,121.0,,119.0,82.5
南京建國路口,TPE38893,0,672,30,44.0,49.0,49.0,49.0,48.0,44.0,44.0,44.0,44.0,44.0,48.0,48.0,48.0,61.0,61.0,61.0,61.0,62.0,62.0,,59.0,59.0,83.0,83.0,54.56521739130435
長安東路二段,TPE38892,0,672,29,91.0,162.0,162.0,174.0,174.0,175.0,175.0,175.0,175.0,,208.0,208.0,,136.0,136.0,136.0,,155.0,155.0,155.0,132.0,132.0,136.0,,157.6
長安松江路口,TPE38891,0,672,28,25.0,73.0,73.0,67.0,,68.0,68.0,68.0,68.0,32.0,32.0,32.0,32.0,101.0,101.0,101.0,96.0,96.0,96.0,104.0,104.0,,104.0,96.0,74.4090909090909
光華商場,TPE38890,0,672,27,106.0,52.0,,52.0,52.0,48.0,48.0,48.0,48.0,46.0,46.0,46.0,52.0,57.0,57.0,57.0,57.0,57.0,,57.0,57.0,51.0,51.0,47.0,54.18181818181818
捷運忠孝新生站,TPE38889,0,672,26,80.0,123.0,123.0,108.0,118.0,118.0,118.0,118.0,118.0,120.0,120.0,,126.0,118.0,118.0,,118.0,118.0,118.0,118.0,118.0,118.0,118.0,124.0,117.0909090909091
仁愛新生路口,TPE38888,0,672,25,92.0,58.0,57.0,57.0,58.0,58.0,58.0,58.0,,57.0,57.0,57.0,59.0,86.0,86.0,62.0,62.0,62.0,62.0,62.0,,64.0,,63.0,63.57142857142857
信義新生路口,TPE38887,0,672,24,76.0,,164.0,,166.0,166.0,166.0,166.0,173.0,173.0,173.0,143.0,143.0,156.0,156.0,156.0,156.0,,163.0,163.0,156.0,156.0,156.0,164.0,156.71428571428572
金華新生路口,TPE38886,0,672,23,76.0,48.0,48.0,49.0,49.0,49.0,49.0,49.0,46.0,46.0,,62.0,62.0,52.0,,52.0,52.0,52.0,52.0,52.0,54.0,54.0,52.0,52.0,52.59090909090909
溫州街口,TPE38885,0,672,22,,202.0,,222.0,222.0,222.0,222.0,,216.0,216.0,216.0,216.0,216.0,,194.0,194.0,194.0,194.0,194.0,,194.0,,194.0,194.0,206.77777777777777
師大綜合大樓,TPE38884,0,672,21,47.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,100.0,122.0,122.0,,122.0,,122.0,122.0,119.0,119.0,119.0,86.0909090909091
師大,TPE38883,0,672,20,64.0,38.0,32.0,32.0,32.0,32.0,32.0,31.0,31.0,,31.0,31.0,31.0,50.0,50.0,50.0,50.0,50.0,39.0,39.0,39.0,41.0,41.0,41.0,39.43478260869565
捷運古亭站(和平),TPE38881,0,672,19,57.0,67.0,56.0,56.0,56.0,56.0,,113.0,113.0,66.0,66.0,66.0,,60.0,60.0,60.0,56.0,56.0,120.0,120.0,120.0,71.0,71.0,71.0,74.4090909090909
羅斯福金門街口,TPE38880,0,672,18,152.0,,167.0,167.0,167.0,167.0,157.0,157.0,157.0,191.0,191.0,191.0,171.0,147.0,147.0,,192.0,,147.0,147.0,,189.0,189.0,,168.05263157894737
羅斯福浦城街口,TPE38879,0,672,17,46.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,,42.0,42.0,42.0,42.0,44.0,44.0,42.0,42.0,46.0,46.0,46.0,44.0,44.0,44.0,45.0,43.26086956521739
捷運台電大樓站,TPE38878,0,672,16,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,32.0,32.0,,66.0,60.0,60.0,40.0,40.0,41.0,41.0,41.0,34.0,34.0,34.0,37.0,37.08695652173913
台電大樓,TPE38877,0,672,15,81.0,92.0,92.0,92.0,92.0,,107.0,107.0,107.0,108.0,108.0,92.0,92.0,127.0,,124.0,,128.0,128.0,,134.0,134.0,,145.0,110.0
捷運公館站,TPE38876,0,672,14,,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,,123.0,123.0,87.0,87.0,111.0,111.0,167.0,,204.0,204.0,204.0,188.0,188.0,128.85714285714286
福和橋(永元路),TPE38875,0,672,13,365.0,517.0,517.0,517.0,3.0,429.0,,,438.0,,457.0,,,,,,574.0,,574.0,524.0,,,441.0,,446.3333333333333
永元路,TPE38874,0,672,12,106.0,158.0,158.0,158.0,153.0,153.0,138.0,138.0,,158.0,158.0,158.0,158.0,,133.0,133.0,,156.0,156.0,156.0,133.0,133.0,133.0,133.0,145.71428571428572
秀朗國小,TPE38873,0,672,11,34.0,139.0,139.0,,122.0,,127.0,127.0,126.0,126.0,,150.0,150.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,,138.0,112.1
得和路,TPE38872,0,672,10,51.0,58.0,58.0,61.0,61.0,61.0,61.0,,56.0,56.0,60.0,60.0,,64.0,64.0,64.0,64.0,64.0,64.0,,56.0,56.0,56.0,52.0,59.38095238095238
中興新村,TPE38871,0,672,9,152.0,117.0,117.0,117.0,,156.0,156.0,184.0,184.0,,117.0,117.0,171.0,162.0,162.0,,113.0,113.0,113.0,113.0,156.0,156.0,156.0,113.0,140.23809523809524
中興二村,TPE38870,0,672,8,37.0,53.0,,58.0,73.0,73.0,,103.0,103.0,73.0,73.0,73.0,73.0,48.0,48.0,,64.0,64.0,64.0,57.0,57.0,,64.0,64.0,66.1
智光商職,TPE38869,0,672,7,55.0,68.0,68.0,68.0,43.0,43.0,,39.0,39.0,40.0,40.0,,68.0,39.0,39.0,,26.0,26.0,,59.0,59.0,,66.0,66.0,50.05263157894737
經建新村,TPE38867,0,672,6,234.0,,221.0,,137.0,,,200.0,,197.0,,,236.0,211.0,,,240.0,,,265.0,265.0,,138.0,138.0,206.83333333333334
捷運景平站,TPE38866,0,672,5,16.0,,38.0,,32.0,,,110.0,,57.0,,,61.0,114.0,,,91.0,,,71.0,,,114.0,114.0,74.36363636363636
景平路景德街口,TPE38865,0,672,4,81.0,,99.0,,99.0,,,99.0,,75.0,,,99.0,,,,106.0,,,46.0,,,43.0,43.0,79.0
尖山腳,TPE191879,0,672,3,66.0,,,,83.0,,,,,83.0,,,99.0,,,,,,,175.0,,,94.0,,100.0
捷運秀朗橋站,TPE38863,0,672,2,,,,,30.0,,,,,27.0,,,36.0,,,,,,,27.0,,,28.0,,29.6
中正環河路口,TPE38857,0,672,1,,,,,,,,,,,,,,,,,,,,,,,,,
