start,end,cost,route,direction,start_stop,Stops,length
"121.53400682, 24.9906894668","121.525072611, 24.9904185835",0.0108390289323836,"672","0","1",1_2,1295.78
"121.525072611, 24.9904185835","121.5229468, 24.9906179093",0.00193817026580329,"672","0","2",2_3,237.69
"121.5229468, 24.9906179093","121.519470711, 24.9916563564",0.00332474842114711,"672","0","3",3_4,404.60
"121.519470711, 24.9916563564","121.517349237, 24.992137331",0.00199174500091927,"672","0","4",4_5,243.10
"121.517349237, 24.992137331","121.513086744, 24.9926498816",0.00390550386317595,"672","0","5",5_6,478.57
"121.513086744, 24.9926498816","121.513480927, 24.9948740954",0.00375890216859657,"672","0","6",6_7,442.85
"121.513480927, 24.9948740954","121.514828547, 24.9964500619",0.00198829470962137,"672","0","7",7_8,230.84
"121.514828547, 24.9964500619","121.516525318, 24.9984140518",0.0024887116886413,"672","0","8",8_9,289.08
"121.516525318, 24.9984140518","121.518489162, 25.0001999549",0.00276867676732425,"672","0","9",9_10,324.13
"121.518489162, 25.0001999549","121.521040492, 24.9998830013",0.00234248608671753,"672","0","10",10_11,286.95
"121.521040492, 24.9998830013","121.522309646, 25.0013043334",0.00231722957271242,"672","0","11",11_12,268.30
"121.522309646, 25.0013043334","121.522869202, 25.0031493284",0.00190489275623756,"672","0","12",12_13,214.64
"121.522869202, 25.0031493284","121.534025333, 25.015163668",0.0209834515862674,"672","0","13",13_14,2493.96
"121.534025333, 25.015163668","121.530571777, 25.0184919199",0.00455807733081371,"672","0","14",14_15,533.94
"121.530571777, 25.0184919199","121.528032729, 25.0209231952",0.00334019855484316,"672","0","15",15_16,391.39
"121.528032729, 25.0209231952","121.526460705, 25.0222665744",0.00195412689746738,"672","0","16",16_17,230.19
"121.526460705, 25.0222665744","121.524707225, 25.0241276869",0.00245045281498275,"672","0","17",17_18,285.80
"121.524707225, 25.0241276869","121.524619603, 25.0268296647",0.00537702657412642,"672","0","18",18_19,634.55
"121.524619603, 25.0268296647","121.527774322, 25.0265705296",0.00287187460278892,"672","0","19",19_20,352.37
"121.527774322, 25.0265705296","121.529963786, 25.0264308279",0.00199014956939488,"672","0","20",20_21,244.25
"121.529963786, 25.0264308279","121.533018582, 25.0261810979",0.00278081465234529,"672","0","21",21_22,341.20
"121.533018582, 25.0261810979","121.53381734, 25.0304718788",0.00634159220736755,"672","0","22",22_23,731.98
"121.53381734, 25.0304718788","121.532838775, 25.0331860826",0.00284303994339688,"672","0","23",23_24,321.20
"121.532838775, 25.0331860826","121.53284073, 25.0376383908",0.00444107841642232,"672","0","24",24_25,497.05
"121.53284073, 25.0376383908","121.532870901, 25.0419898127",0.00433039231838749,"672","0","25",25_26,484.44
"121.532870901, 25.0419898127","121.533022421, 25.0450018955",0.00300203152962217,"672","0","26",26_27,335.94
"121.533022421, 25.0450018955","121.533008021, 25.0482735083",0.00325689575528374,"672","0","27",27_28,364.37
"121.533008021, 25.0482735083","121.533026088, 25.0495409789",0.00126268055782322,"672","0","28",28_29,141.29
"121.533026088, 25.0495409789","121.536272379, 25.0519250268",0.00520924287442584,"672","0","29",29_30,613.77
"121.536272379, 25.0519250268","121.540168071, 25.0518493163",0.00353218478342976,"672","0","30",30_31,433.75
"121.540168071, 25.0518493163","121.543561059, 25.0517861249",0.00307728352052745,"672","0","31",31_32,377.87
"121.543561059, 25.0517861249","121.548353237, 25.0516400648",0.00434731651855408,"672","0","32",32_33,533.80
"121.548353237, 25.0516400648","121.54920589, 25.0525847002",0.00168399231108932,"672","0","33",33_34,196.50
"121.54920589, 25.0525847002","121.549260791, 25.0565601652",0.00395660848951634,"672","0","34",34_35,442.63
"121.549260791, 25.0565601652","121.552561093, 25.0579609255",0.00409349423810643,"672","0","35",35_36,490.46
"121.552561093, 25.0579609255","121.555728237, 25.0582521124",0.00288539295349221,"672","0","36",36_37,354.06
"121.555728237, 25.0582521124","121.559214502, 25.0585307633",0.00317216959244602,"672","0","37",37_38,389.33
"121.559214502, 25.0585307633","121.560925254, 25.0586634563",0.00155627055373232,"672","0","38",38_39,191.01
