start,end,cost,route,direction,start_stop,Stops,seg_length,route_leng,ratio,length_z,straight,leng/str,azi_diff,length
"121.5634, 25.0575","121.5635808, 25.05524502",0.002249913653710,"672","1","1",1_2,0.002264699272821,0.286859747101153,0.007894796309719,-0.517267444914276,0.002262216488402,1.001097500805868,"2",250.46
"121.5635808, 25.05524502","121.562162517, 25.0542172111",0.002587090473536,"672","1","2",2_3,0.002751110580711,0.286859747101153,0.009590437865586,-0.354262889415968,0.001751547662002,1.570674118891144,"93",287.99
"121.562162517, 25.0542172111","121.559764, 25.054069",0.002177289486376,"672","1","3",3_4,0.002400984786849,0.286859747101153,0.008369890900038,-0.471595892311256,0.002403091355715,0.999123392100311,"2",242.37
"121.559764, 25.054069","121.557874386, 25.0538817474",0.001721220232689,"672","1","4",4_5,0.001897661212938,0.286859747101153,0.006615292776747,-0.640268030697928,0.001898869463485,0.999363700048690,"1",191.61
"121.557874386, 25.0538817474","121.5568095, 25.05277814",0.002099711526401,"672","1","5",5_6,0.002233452868101,0.286859747101153,0.007785870588924,-0.527738637153661,0.001533600688716,1.456345764927140,"105",233.74
"121.5568095, 25.05277814","121.55774, 25.04937",0.003942810356910,"672","1","6",6_7,0.004022612675608,0.286859747101153,0.014022924848321,0.071838704917591,0.003532881049455,1.138621034588242,"21",438.91
"121.55774, 25.04937","121.5577342, 25.04762",0.001740942435684,"672","1","7",7_8,0.001749596640080,0.286859747101153,0.006099136103133,-0.689886942701339,0.001750009611400,0.999764017684939,"0",193.80
"121.5577342, 25.04762","121.557568, 25.042558",0.005040481486888,"672","1","8",8_9,0.005065840660238,0.286859747101153,0.017659642774666,0.421441831242107,0.005064727676788,1.000219751884033,"1",561.10
"121.557568, 25.042558","121.557499636, 25.0390095905",0.003531368513577,"672","1","9",9_10,0.003548929011620,0.286859747101153,0.012371652166203,-0.086900604474760,0.003549068051598,0.999960823524375,"0",393.11
"121.557499636, 25.0390095905","121.5574552, 25.03646972",0.002528153025048,"672","1","10",10_11,0.002540805000440,0.286859747101153,0.008857307538320,-0.424739802832449,0.002540259124501,1.000214889864424,"0",281.43
"121.5574552, 25.03646972","121.5573365, 25.03409828",0.002361015466505,"672","1","11",11_12,0.002372754622554,0.286859747101153,0.008271479866143,-0.481056291993419,0.002374408845083,0.999303311840219,"1",262.83
"121.5573365, 25.03409828","121.55746, 25.03031",0.003763583798404,"672","1","12",12_13,0.003782849365020,0.286859747101153,0.013187104162392,-0.008509986063057,0.003790292549182,0.998036250746964,"3",418.96
"121.55746, 25.03031","121.556522, 25.028215",0.002301839313944,"672","1","13",13_14,0.002344380200514,0.286859747101153,0.008172565946268,-0.490565034856065,0.002295401707765,1.021337656316452,"25",256.24
"121.556522, 25.028215","121.5546403, 25.02633063",0.002577082181386,"672","1","14",14_15,0.002714075804976,0.286859747101153,0.009461333743764,-0.366673861485977,0.002663014304683,1.019174324450018,"20",286.88
"121.5546403, 25.02633063","121.5516159, 25.02370304",0.003791956767805,"672","1","15",15_16,0.004006233578091,0.286859747101153,0.013965826919170,0.066349795702637,0.004006397954275,0.999958971578650,"0",422.12
"121.5516159, 25.02370304","121.54763, 25.02024",0.004993154269125,"672","1","16",16_17,0.005281228040287,0.286859747101153,0.018410488378577,0.493621740663294,0.005280155760167,1.000203077365281,"1",555.84
"121.54763, 25.02024","121.544649, 25.017752",0.003665973599903,"672","1","17",17_18,0.003881954673553,0.286859747101153,0.013532587659236,0.024701858527730,0.003882847537574,0.999770049167986,"1",408.09
"121.544649, 25.017752","121.542278, 25.01576",0.002928540297817,"672","1","18",18_19,0.003098920435250,0.286859747101153,0.010802911410770,-0.237705996479232,0.003096724882836,1.000708991756370,"2",326.00
